requested_chemsys,requested_family,matched_query_chemsys,retrieval_mode,material_id,formula_pretty,chemsys,requested_overlap_score,candidate_family,family_plausible,family_matches_request,accepted_for_request,is_cobalt_near_miss,near_miss_reason,near_miss_bucket,rejection_reason,n_elements,density,energy_above_hull,band_gap,is_stable,theoretical
Co-Cr-Ni,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-10883,AlCrCo2,Al-Co-Cr,2,Co-based high-temperature candidate,True,True,False,False,,,Pair-window candidate does not preserve the requested distinguishing element.,3,7.024895043304369,0.057598806249999,0.0,False,False
Co-Cr-Ni,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-1008277,CrCo2As,As-Co-Cr,2,Co-based high-temperature candidate,True,True,False,False,,,Returned candidate contains non-target chemistry for this broader recovery step.,3,8.391053381201056,0.16260986499999902,0.0,False,True
Co-Cr-Ni,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-1018080,CrCo2Bi,Bi-Co-Cr,2,Co-based high-temperature candidate,True,True,False,False,,,Returned candidate contains non-target chemistry for this broader recovery step.,3,10.710019662345477,0.38314022000000103,0.0,False,True
Co-Cr-Ni,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-1183740,CrCo2Ge,Co-Cr-Ge,2,Co-based high-temperature candidate,True,True,False,False,,,Returned candidate contains non-target chemistry for this broader recovery step.,3,8.510535723158329,0.0,0.0,True,True
Co-Cr-Ni,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-1018082,CrCo2Sb,Co-Cr-Sb,2,Co-based high-temperature candidate,True,True,False,False,,,Returned candidate contains non-target chemistry for this broader recovery step.,3,8.923198640813354,0.12038147124999901,0.0,False,True
Co-Cr-Ni,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-1008224,CrCo2Si,Co-Cr-Si,2,Co-based high-temperature candidate,True,True,False,False,,,Returned candidate contains non-target chemistry for this broader recovery step.,3,7.346076125461993,0.018480944374999,0.0,False,True
Co-Cr-Ni,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-1206397,CrCoAs,As-Co-Cr,2,Co-based high-temperature candidate,True,True,False,False,,,Returned candidate contains non-target chemistry for this broader recovery step.,3,7.941599517250176,0.030885187777776,0.0,False,True
Co-Cr-Ni,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-1206044,CrCoBr3,Br-Co-Cr,2,Co-based high-temperature candidate,True,True,False,False,,,Returned candidate contains non-target chemistry for this broader recovery step.,3,4.511140548565831,0.768115015,0.0,False,True
Co-Cr-Ni,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-10394,CrCoGe,Co-Cr-Ge,2,Co-based high-temperature candidate,True,True,False,False,,,Returned candidate contains non-target chemistry for this broader recovery step.,3,8.20250652110751,0.06450866249999901,0.0,False,False
Co-Cr-Ni,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-1226287,CrCoPt2,Co-Cr-Pt,2,Co-based high-temperature candidate,True,True,False,False,,,Pair-window candidate does not preserve the requested distinguishing element.,3,15.147594929853463,0.21721340166666703,0.0,False,True
Co-Cr-Ni,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-570863,CrCoPt2,Co-Cr-Pt,2,Co-based high-temperature candidate,True,True,False,False,,,Pair-window candidate does not preserve the requested distinguishing element.,3,14.905523811951243,0.036714289166669,0.0,False,False
Co-Cr-Ni,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-1095673,CrCoSi,Co-Cr-Si,2,Co-based high-temperature candidate,True,True,False,False,,,Returned candidate contains non-target chemistry for this broader recovery step.,3,6.632981252480177,0.079814976388888,0.0,False,False
Co-Cr-Ni,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-1226249,CrCoSi2,Co-Cr-Si,2,Co-based high-temperature candidate,True,True,False,False,,,Returned candidate contains non-target chemistry for this broader recovery step.,3,5.963884693546936,0.076374101375,0.0,False,True
Co-Cr-Ni,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-567981,CrGaCo2,Co-Cr-Ga,2,Co-based high-temperature candidate,True,True,False,False,,,Pair-window candidate does not preserve the requested distinguishing element.,3,8.478266107383357,0.021576596250000003,0.0,False,False
Co-Cr-Ni,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-16735,CrInCo2,Co-Cr-In,2,Co-based high-temperature candidate,True,True,False,False,,,Pair-window candidate does not preserve the requested distinguishing element.,3,8.848960815969404,0.20305812041666702,0.0,False,False
